movieId,reviews,critic_reviews,metascore,Budget,US_and_Canada_Gross,Opening_Weekend,Global_Gross,Runtime,imdb_rating
1,777,167,96,30000000,223225679,29140617,394436586,81,8.3
2,324,84,39,65000000,100499940,11084370,262821940,104,7.1
3,71,30,46,25000000,71518503,7797185,71518503,101,6.6
4,64,22,0,16000000,67052156,14126927,81452156,124,6
5,81,39,49,30000000,76594107,11134978,76594107,106,6.1
6,1300,222,76,60000000,67436818,8445656,187436818,170,8.3
7,173,48,56,58000000,53672080,5563259,53696278,127,6.3
8,32,13,0,0,23920048,3210458,23920048,97,5.5
9,148,73,0,35000000,20350171,4782445,64350171,111,5.8
10,558,102,65,60000000,106429941,26205007,352194034,130,7.2
11,260,61,68,62000000,60079496,10014558,107879496,114,6.8
12,177,48,0,30000000,10772144,2708298,10772144,88,5.8
13,124,26,0,0,11348324,1519755,11349090,78,7.1
14,183,54,66,44000000,13681765,2206506,13681765,192,7.1
15,221,74,37,98000000,10017322,2371415,10017322,124,5.7
16,764,156,73,52000000,42512375,9946480,116112375,178,8.2
17,301,64,84,16000000,43182776,721341,134582776,136,7.7
18,214,60,0,4000000,4257354,427733,4257354,98,6.7
19,230,53,43,30000000,108385533,37804076,212385533,90,6.4
20,79,41,0,68000000,35431113,10608297,35431113,110,5.7
21,185,103,81,30250000,72101622,12700007,115101622,105,6.9
22,205,64,54,20000000,32051917,5170522,32051917,123,6.6
23,122,61,0,50000000,30303072,9378637,30303072,133,6.3
24,185,37,0,9500000,30862156,7146973,30862156,111,6.6
25,405,98,82,3600000,32029928,70864,32029928,111,7.5
26,55,25,0,11000000,2844379,29097,2844379,123,6.8
27,146,21,50,0,27112329,7440173,37591674,102,6.8
28,109,31,0,0,0,0,0,107,7.6
29,270,64,73,18000000,1738611,34348,1781750,112,7.5
30,40,35,77,0,2086101,209098,2086101,108,7.1
31,114,41,47,23000000,84919401,14931503,179519401,99,6.5
32,765,211,75,29000000,57141459,184776,168839459,129,8
34,249,54,83,30000000,63658910,8742545,254134910,91,6.9
36,245,71,80,11000000,39363635,118266,39363635,122,7.5
38,67,23,45,0,19474589,5564147,19474589,101,5.9
39,398,90,71,12000000,56631572,10612443,56631794,97,6.9
40,29,10,71,0,670727,0,670727,106,6.8
41,97,51,86,6000000,2684904,91915,2748518,110,7.3
42,112,44,0,10000000,24147179,7943778,24147179,119,6.9
43,56,21,66,19000000,4005941,75514,4005941,117,6.6
44,439,102,60,18000000,70454098,23283887,122195920,101,5.8
45,205,68,86,20000000,21284514,386510,21284514,106,6.8
46,53,31,0,10000000,23600020,5790445,41200020,117,6.3
47,1900,168,65,33000000,100125643,13949807,327333559,127,8.6
48,302,93,59,55000000,141579773,2689714,346079773,81,6.7
49,63,18,0,0,919671,0,919671,94,6.5
50,1500,153,76,6000000,23341568,645363,23341568,106,8.5
52,107,58,59,15000000,6468498,326494,6468498,95,7
53,14,20,0,0,438483,0,4788331,116,7.4
54,35,11,0,12000000,17736619,4688285,17736619,100,5.5
55,43,23,81,0,1110104,55461,1110104,115,6.5
57,123,49,57,20000000,17519169,4007717,17519169,103,6.6
58,139,40,81,3000000,21848932,95310,21898920,108,7.8
60,62,28,58,45000000,35656131,7716278,35656131,96,6
61,112,39,25,20000000,26877589,6968044,26877589,101,6.2
62,194,40,59,23000000,82569971,14466,106269971,143,7.3
63,154,35,53,3800000,20109115,8112884,20949601,89,6.5
64,39,15,30,0,10658278,4656986,10658278,96,5.3
65,169,33,1,15000000,13427615,4999979,13427615,88,4.4
66,77,59,29,15000000,2409225,1428658,2409225,93,2.5
68,41,21,0,0,1026646,0,1026646,104,6.4
69,233,30,54,3500000,27467564,6589341,28215918,91,7.2
70,743,176,48,19000000,25836616,10240805,25837111,108,7.2
71,70,54,13,50000000,11534477,4946332,11534477,91,4.3
72,84,37,75,0,718490,19497,718490,96,6.7
73,43,13,0,0,740048,0,740048,175,7.5
74,50,29,0,0,19030691,6117558,27315527,87,6.1
75,32,8,0,15000000,2042530,1131094,2042530,90,4.8
76,169,70,0,20000000,5711695,2904140,5711695,108,6.3
77,15,15,0,0,306691,14763,306691,70,7.2
78,83,35,46,9000000,868979,71804,868979,111,6.3
79,75,33,0,44000000,22754725,8411178,22754725,118,5.7
80,45,28,0,150000,924940,0,924940,85,7.6
81,172,45,46,7000000,529766,44108,529766,115,6.7
82,85,24,0,1500000,4228275,45051,4249321,102,7.4
83,9,7,0,0,2291255,75675,2291255,115,7.4
85,63,34,0,4997987,3414301,0,3414301,116,6.8
86,105,29,53,38000000,10292300,3908514,10292300,129,6.6
87,45,24,54,0,9871065,2996891,9871065,88,5.3
88,92,27,34,0,32417995,10593609,32417995,87,6.2
89,162,35,0,33000000,8175346,2781601,8175346,90,6.3
92,110,56,44,47000000,5707094,2812620,12379402,108,5.8
93,87,41,27,20000000,19751736,7045379,19751736,100,4.6
94,198,68,64,0,10597759,2761790,10597759,112,7.1
95,239,73,61,50000000,70770147,15583510,150270147,108,6.1
96,40,16,0,0,469571,19000,469571,99,7.2
97,270,83,0,2590000,280859,0,412914,98,8.1
99,12,14,0,0,34402,14321,34402,106,6.6
100,75,46,62,40000000,20340204,6950794,20340204,111,6.2
101,226,87,67,7000000,560069,124118,560069,91,6.9
102,75,16,0,0,12825141,5106797,12825141,96,3.8
103,32,30,0,18000000,2821671,1442215,2821671,117,6
104,391,76,31,12000000,38824099,8514125,41205099,92,7
105,302,53,69,24000000,71516617,10519257,182016617,135,7.6
106,7,8,0,0,0,0,0,104,7.2
107,83,53,64,0,34327391,7906689,34327391,99,6.9
108,2,5,0,0,28672,9560,28672,95,7
110,1400,93,68,72000000,75609945,9938276,213216216,178,8.3
111,1400,314,94,1300000,28262574,116458,28573323,114,8.2
112,120,67,61,7500000,32392047,9858380,32392047,104,6.7
113,61,44,0,35000000,8797839,4023815,8797839,108,6.1
116,16,13,0,0,1310200,26697,1310200,117,8.1
117,31,16,0,0,536825,0,536825,99,7
118,48,22,33,5000000,2420162,1308088,2420162,92,4.9
119,12,12,0,35000000,3150170,1761890,3150170,135,4.7
121,21,10,0,0,204540,0,0,93,7.5
122,73,29,45,42000000,70052444,13640706,131052444,117,5.6
123,251,135,78,0,600200,32779,1500226,102,8
125,117,47,81,7000000,14702438,164458,14702438,92,6.7
126,111,16,0,17000000,0,0,0,95,3.2
128,11,6,0,0,10622,3673,10622,87,7.1
129,13,4,0,0,0,0,0,95,5.8
132,85,49,33,50000000,9851610,4284246,9851610,95,5.3
135,117,34,39,31000000,25785603,7231087,37553752,92,6.1
137,6,10,0,0,209935,26147,209935,86,5.9
140,66,37,0,60000000,51088705,11101955,100688705,124,6.1
141,249,43,72,31000000,124060553,18275828,185260553,117,7.2
144,42,32,73,238000,10426506,167815,10426506,98,6.6
145,328,84,41,19000000,65807024,15523358,141407024,119,6.8
146,15,9,0,0,7506759,2413107,7506759,84,5.7
